Yahayuk WASD|true|14651
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
-902,171.72662353515625,891|-0,-0,-1|0,1,0|Running
